"epoch","5_cont - _step","5_cont - _step__MIN","5_cont - _step__MAX","5_cont - train_loss","5_cont - train_loss__MIN","5_cont - train_loss__MAX","5_cont - val_loss","5_cont - val_loss__MIN","5_cont - val_loss__MAX","7_cont - _step","7_cont - _step__MIN","7_cont - _step__MAX","7_cont - train_loss","7_cont - train_loss__MIN","7_cont - train_loss__MAX","7_cont - val_loss","7_cont - val_loss__MIN","7_cont - val_loss__MAX","7_swin - _step","7_swin - _step__MIN","7_swin - _step__MAX","7_swin - train_loss","7_swin - train_loss__MIN","7_swin - train_loss__MAX","7_swin - val_loss","7_swin - val_loss__MIN","7_swin - val_loss__MAX","6_5 levels - _step","6_5 levels - _step__MIN","6_5 levels - _step__MAX","6_5 levels - train_loss","6_5 levels - train_loss__MIN","6_5 levels - train_loss__MAX","6_5 levels - val_loss","6_5 levels - val_loss__MIN","6_5 levels - val_loss__MAX","5_input size 256 and dropout - _step","5_input size 256 and dropout - _step__MIN","5_input size 256 and dropout - _step__MAX","5_input size 256 and dropout - train_loss","5_input size 256 and dropout - train_loss__MIN","5_input size 256 and dropout - train_loss__MAX","5_input size 256 and dropout - val_loss","5_input size 256 and dropout - val_loss__MIN","5_input size 256 and dropout - val_loss__MAX","ScaleIntensity added 2 - _step","ScaleIntensity added 2 - _step__MIN","ScaleIntensity added 2 - _step__MAX","ScaleIntensity added 2 - train_loss","ScaleIntensity added 2 - train_loss__MIN","ScaleIntensity added 2 - train_loss__MAX","ScaleIntensity added 2 - val_loss","ScaleIntensity added 2 - val_loss__MIN","ScaleIntensity added 2 - val_loss__MAX","4_input size 128 no intensity scaling, histogram equilisation - _step","4_input size 128 no intensity scaling, histogram equilisation - _step__MIN","4_input size 128 no intensity scaling, histogram equilisation - _step__MAX","4_input size 128 no intensity scaling, histogram equilisation - train_loss","4_input size 128 no intensity scaling, histogram equilisation - train_loss__MIN","4_input size 128 no intensity scaling, histogram equilisation - train_loss__MAX","4_input size 128 no intensity scaling, histogram equilisation - val_loss","4_input size 128 no intensity scaling, histogram equilisation - val_loss__MIN","4_input size 128 no intensity scaling, histogram equilisation - val_loss__MAX","Third_Run (128x128) - _step","Third_Run (128x128) - _step__MIN","Third_Run (128x128) - _step__MAX","Third_Run (128x128) - train_loss","Third_Run (128x128) - train_loss__MIN","Third_Run (128x128) - train_loss__MAX","Third_Run (128x128) - val_loss","Third_Run (128x128) - val_loss__MIN","Third_Run (128x128) - val_loss__MAX","2_cont - _step","2_cont - _step__MIN","2_cont - _step__MAX","2_cont - train_loss","2_cont - train_loss__MIN","2_cont - train_loss__MAX","2_cont - val_loss","2_cont - val_loss__MIN","2_cont - val_loss__MAX","2_z-score_normalisation - _step","2_z-score_normalisation - _step__MIN","2_z-score_normalisation - _step__MAX","2_z-score_normalisation - train_loss","2_z-score_normalisation - train_loss__MIN","2_z-score_normalisation - train_loss__MAX","2_z-score_normalisation - val_loss","2_z-score_normalisation - val_loss__MIN","2_z-score_normalisation - val_loss__MAX"
"10","","","","","","","","","","","","","","","","","","","10","10","10","0.27654772571155","0.27654772571155","0.27654772571155","0.27397973675418785","0.27397973675418785","0.27397973675418785","10","10","10","0.20289866131644288","0.20289866131644288","0.20289866131644288","0.20097552824903417","0.20097552824903417","0.20097552824903417","10","10","10","0.19501060469686485","0.19501060469686485","0.19501060469686485","0.1953552458849218","0.1953552458849218","0.1953552458849218","10","10","10","0.20815186985150105","0.20815186985150105","0.20815186985150105","0.22174096426002154","0.22174096426002154","0.22174096426002154","10","10","10","0.2605132138935708","0.2605132138935708","0.2605132138935708","0.25572200847935056","0.25572200847935056","0.25572200847935056","10","10","10","0.2640464780773936","0.2640464780773936","0.2640464780773936","0.2589824580237768","0.2589824580237768","0.2589824580237768","","","","","","","","","","10","10","10","0.3220297804399699","0.3220297804399699","0.3220297804399699","0.32683526253722417","0.32683526253722417","0.32683526253722417"
"11","","","","","","","","","","","","","","","","","","","11","11","11","0.2647424513677589","0.2647424513677589","0.2647424513677589","0.28696916710447384","0.28696916710447384","0.28696916710447384","11","11","11","0.19542942208652736","0.19542942208652736","0.19542942208652736","0.1985343599760974","0.1985343599760974","0.1985343599760974","11","11","11","0.19380364695391736","0.19380364695391736","0.19380364695391736","0.20661001829085526","0.20661001829085526","0.20661001829085526","11","11","11","0.20220966452435285","0.20220966452435285","0.20220966452435285","0.20787018365797943","0.20787018365797943","0.20787018365797943","11","11","11","0.25501337350040926","0.25501337350040926","0.25501337350040926","0.2597845803018396","0.2597845803018396","0.2597845803018396","11","11","11","0.2580824691739653","0.2580824691739653","0.2580824691739653","0.24560919038425147","0.24560919038425147","0.24560919038425147","","","","","","","","","","11","11","11","0.3149151604998262","0.3149151604998262","0.3149151604998262","0.30451295812887774","0.30451295812887774","0.30451295812887774"
"12","","","","","","","","","","","","","","","","","","","12","12","12","0.2574720754280311","0.2574720754280311","0.2574720754280311","0.26803173897442994","0.26803173897442994","0.26803173897442994","12","12","12","0.19258374780291268","0.19258374780291268","0.19258374780291268","0.19182740129806378","0.19182740129806378","0.19182740129806378","12","12","12","0.1892999847646521","0.1892999847646521","0.1892999847646521","0.2070849147659761","0.2070849147659761","0.2070849147659761","12","12","12","0.20020084907966001","0.20020084907966001","0.20020084907966001","0.20767776438183944","0.20767776438183944","0.20767776438183944","12","12","12","0.25416358694935043","0.25416358694935043","0.25416358694935043","0.24831875696168956","0.24831875696168956","0.24831875696168956","12","12","12","0.2509378128285919","0.2509378128285919","0.2509378128285919","0.23597153417461422","0.23597153417461422","0.23597153417461422","","","","","","","","","","12","12","12","0.2983560271467231","0.2983560271467231","0.2983560271467231","0.3037060626322009","0.3037060626322009","0.3037060626322009"
"13","","","","","","","","","","","","","","","","","","","13","13","13","0.25239731446534647","0.25239731446534647","0.25239731446534647","0.25838322082051524","0.25838322082051524","0.25838322082051524","13","13","13","0.18793126154972725","0.18793126154972725","0.18793126154972725","0.18963499243060747","0.18963499243060747","0.18963499243060747","13","13","13","0.18697724428747883","0.18697724428747883","0.18697724428747883","0.19043694149564813","0.19043694149564813","0.19043694149564813","13","13","13","0.2017566006818489","0.2017566006818489","0.2017566006818489","0.20597852067156353","0.20597852067156353","0.20597852067156353","13","13","13","0.244405369657804","0.244405369657804","0.244405369657804","0.2390002131628281","0.2390002131628281","0.2390002131628281","13","13","13","0.24722493042339796","0.24722493042339796","0.24722493042339796","0.24093615296937276","0.24093615296937276","0.24093615296937276","","","","","","","","","","13","13","13","0.29735238641938744","0.29735238641938744","0.29735238641938744","0.3013739112252196","0.3013739112252196","0.3013739112252196"
"14","","","","","","","","","","","","","","","","","","","14","14","14","0.24695651051627487","0.24695651051627487","0.24695651051627487","0.2553538723676293","0.2553538723676293","0.2553538723676293","14","14","14","0.19259275057736566","0.19259275057736566","0.19259275057736566","0.19138535018320438","0.19138535018320438","0.19138535018320438","14","14","14","0.18855821093966982","0.18855821093966982","0.18855821093966982","0.20689070914630536","0.20689070914630536","0.20689070914630536","14","14","14","0.20085163808920803","0.20085163808920803","0.20085163808920803","0.21116267258239058","0.21116267258239058","0.21116267258239058","14","14","14","0.2420523255562582","0.2420523255562582","0.2420523255562582","0.24148341895645437","0.24148341895645437","0.24148341895645437","14","14","14","0.23472908120445846","0.23472908120445846","0.23472908120445846","0.23464150613236162","0.23464150613236162","0.23464150613236162","","","","","","","","","","14","14","14","0.29318921606079873","0.29318921606079873","0.29318921606079873","0.2750886843217793","0.2750886843217793","0.2750886843217793"
"15","","","","","","","","","","","","","","","","","","","15","15","15","0.23648956862567855","0.23648956862567855","0.23648956862567855","0.25636601166592704","0.25636601166592704","0.25636601166592704","15","15","15","0.19176623456868805","0.19176623456868805","0.19176623456868805","0.18809931526581447","0.18809931526581447","0.18809931526581447","15","15","15","0.19184071157409363","0.19184071157409363","0.19184071157409363","0.1868634918773616","0.1868634918773616","0.1868634918773616","15","15","15","0.19872538073911888","0.19872538073911888","0.19872538073911888","0.20893851310347092","0.20893851310347092","0.20893851310347092","15","15","15","0.24021633811482862","0.24021633811482862","0.24021633811482862","0.2243245219514051","0.2243245219514051","0.2243245219514051","15","15","15","0.2316129038094723","0.2316129038094723","0.2316129038094723","0.2336690762949256","0.2336690762949256","0.2336690762949256","","","","","","","","","","15","15","15","0.2866632150282629","0.2866632150282629","0.2866632150282629","0.3039407653380947","0.3039407653380947","0.3039407653380947"
"16","","","","","","","","","","","","","","","","","","","16","16","16","0.23657830350664483","0.23657830350664483","0.23657830350664483","0.24950365838077332","0.24950365838077332","0.24950365838077332","16","16","16","0.18629515380794262","0.18629515380794262","0.18629515380794262","0.1886655644962081","0.1886655644962081","0.1886655644962081","16","16","16","0.18830419873364834","0.18830419873364834","0.18830419873364834","0.19849313020154283","0.19849313020154283","0.19849313020154283","","","","","","","","","","16","16","16","0.23598237542294653","0.23598237542294653","0.23598237542294653","0.2359923111018638","0.2359923111018638","0.2359923111018638","16","16","16","0.24162767580201647","0.24162767580201647","0.24162767580201647","0.22405941247053748","0.22405941247053748","0.22405941247053748","","","","","","","","","","16","16","16","0.28667100727119865","0.28667100727119865","0.28667100727119865","0.2709281030197569","0.2709281030197569","0.2709281030197569"
"17","","","","","","","","","","","","","","","","","","","17","17","17","0.23121137315986537","0.23121137315986537","0.23121137315986537","0.25769704944557614","0.25769704944557614","0.25769704944557614","17","17","17","0.18316561096355694","0.18316561096355694","0.18316561096355694","0.18650932047102187","0.18650932047102187","0.18650932047102187","17","17","17","0.18826620268220662","0.18826620268220662","0.18826620268220662","0.18855641776764834","0.18855641776764834","0.18855641776764834","","","","","","","","","","17","17","17","0.22987002694681913","0.22987002694681913","0.22987002694681913","0.2294893239011995","0.2294893239011995","0.2294893239011995","17","17","17","0.23556203608001983","0.23556203608001983","0.23556203608001983","0.2290917487614217","0.2290917487614217","0.2290917487614217","","","","","","","","","","17","17","17","0.2792760797564973","0.2792760797564973","0.2792760797564973","0.2930103402764824","0.2930103402764824","0.2930103402764824"
"18","","","","","","","","","","","","","","","","","","","18","18","18","0.22401257601230085","0.22401257601230085","0.22401257601230085","0.2467485064709628","0.2467485064709628","0.2467485064709628","18","18","18","0.18080015715305545","0.18080015715305545","0.18080015715305545","0.18642696194626668","0.18642696194626668","0.18642696194626668","18","18","18","0.18111916030404948","0.18111916030404948","0.18111916030404948","0.18485619133269346","0.18485619133269346","0.18485619133269346","","","","","","","","","","18","18","18","0.23271942440764742","0.23271942440764742","0.23271942440764742","0.21522511414435716","0.21522511414435716","0.21522511414435716","18","18","18","0.22593562863767147","0.22593562863767147","0.22593562863767147","0.21763537050013648","0.21763537050013648","0.21763537050013648","","","","","","","","","","18","18","18","0.27752224673681397","0.27752224673681397","0.27752224673681397","0.29937262804036247","0.29937262804036247","0.29937262804036247"
"19","","","","","","","","","","","","","","","","","","","19","19","19","0.220210794015091","0.220210794015091","0.220210794015091","0.23619168472510796","0.23619168472510796","0.23619168472510796","19","19","19","0.18485465110475277","0.18485465110475277","0.18485465110475277","0.1857029044241817","0.1857029044241817","0.1857029044241817","19","19","19","0.18306432839702158","0.18306432839702158","0.18306432839702158","0.1821434655951129","0.1821434655951129","0.1821434655951129","","","","","","","","","","19","19","19","0.2224027840655391","0.2224027840655391","0.2224027840655391","0.21940773346056283","0.21940773346056283","0.21940773346056283","19","19","19","0.22779184604893213","0.22779184604893213","0.22779184604893213","0.2243530004662652","0.2243530004662652","0.2243530004662652","","","","","","","","","","19","19","19","0.272422971000441","0.272422971000441","0.272422971000441","0.2575542552874434","0.2575542552874434","0.2575542552874434"
