Class;Mean Dice ED;Mean Dice ES;Hausdorff ED;Hausdorff ES
RV;0,88046885;0,8324481;10,660528;14,2051735
MY;0,8234399;0,84907585;6,0451756;8,259017
LV;0,9306693;0,8907741;3,6680648;4,7538433
